when,player,matches_won,matches_lost,games_won,games_lost
2025-06-14 17:03,Test,1,0,3,2
2025-06-14 17:03,Bryan,0,1,2,3
2025-06-14 17:32,Bryan,1,0,3,0
2025-06-14 17:32,Test,0,1,0,3
2025-06-14 17:32,Bryan,1,0,3,0
2025-06-14 17:32,Test,0,1,0,3
2025-06-14 17:36,Bry,1,0,3,0
2025-06-14 17:36,Test,0,1,0,3
2025-06-14 17:38,Bry,1,0,1,0
2025-06-14 17:38,Test,0,1,0,1
2025-06-14 17:40,Test,1,0,3,2
2025-06-14 17:40,Bry,0,1,2,3
2025-06-14 17:54,Bryan,1,0,3,0
2025-06-14 17:54,Test,0,1,0,3
2025-06-14 17:54,Bryan,1,0,3,0
2025-06-14 17:54,Test,0,1,0,3
2025-06-14 17:55,Bryan,1,0,3,1
2025-06-14 17:55,Test,0,1,1,3
2025-06-14 17:55,Bryan,1,0,3,2
2025-06-14 17:55,Test,0,1,2,3
2025-06-14 17:56,Test,1,0,3,0
2025-06-14 17:56,Bryan,0,1,0,3
2025-06-14 17:59,Bryan,1,0,3,0
2025-06-14 17:59,Test,0,1,0,3
2025-06-14 17:59,Bryan,1,0,3,1
2025-06-14 17:59,Test,0,1,1,3
2025-06-14 18:05,bry,1,0,1,0
2025-06-14 18:05,test,0,1,0,1
2025-06-14 18:06,bry,1,0,1,0
2025-06-14 18:06,test,0,1,0,1
2025-06-14 18:06,bry,1,0,1,0
2025-06-14 18:06,test,0,1,0,1
2025-06-14 18:06,bry,1,0,1,0
2025-06-14 18:06,test,0,1,0,1
2025-06-14 18:11,Bryan,1,0,3,0
2025-06-14 18:11,Test,0,1,0,3
2025-06-14 18:12,Bryan,1,0,3,1
2025-06-14 18:12,Test,0,1,1,3
2025-06-14 18:14,Bryan,1,0,3,1
2025-06-14 18:14,Test,0,1,1,3
2025-06-14 18:14,Bryan,1,0,3,2
2025-06-14 18:14,Test,0,1,2,3
2025-06-14 18:18,Bryan,1,0,3,2
2025-06-14 18:18,Test,0,1,2,3
2025-06-14 18:18,Bryan,1,0,3,2
2025-06-14 18:18,Test,0,1,2,3
2025-06-14 18:38,Bryan,1,0,3,0
2025-06-14 18:38,Test,0,1,0,3
2025-06-14 18:38,Bryan,1,0,3,1
2025-06-14 18:38,Test,0,1,1,3
2025-06-14 18:39,Bryan,1,0,3,0
2025-06-14 18:39,Test,0,1,0,3
2025-06-14 18:39,Bryan,1,0,3,2
2025-06-14 18:39,Test,0,1,2,3
2025-06-14 18:39,Bryan,1,0,3,2
2025-06-14 18:39,Test,0,1,2,3
2025-06-14 18:39,Bryan,1,0,3,2
2025-06-14 18:39,Test,0,1,2,3
2025-06-14 18:40,Bryan,1,0,3,2
2025-06-14 18:40,Test,0,1,2,3
2025-06-14 18:47,Bryan,1,0,3,0
2025-06-14 18:47,Test,0,1,0,3
2025-06-14 18:47,Bryan,1,0,3,0
2025-06-14 18:47,Test,0,1,0,3
2025-06-14 18:47,Bryan,1,0,3,0
2025-06-14 18:47,Test,0,1,0,3
2025-06-14 18:51,Bryan,1,0,2,0
2025-06-14 18:51,Test,0,1,0,2
2025-06-14 18:51,Bryan,1,0,2,0
2025-06-14 18:51,Test,0,1,0,2
2025-06-14 18:52,Bryan,1,0,2,0
2025-06-14 18:52,test,0,1,0,2
2025-06-14 18:52,Bryan,1,0,2,0
2025-06-14 18:52,test,0,1,0,2
2025-06-14 18:52,Bryan,1,0,2,0
2025-06-14 18:52,test,0,1,0,2
2025-06-14 18:53,Bryan,1,0,2,1
2025-06-14 18:53,test,0,1,1,2
2025-06-14 18:53,Bryan,1,0,2,0
2025-06-14 18:53,test,0,1,0,2
2025-06-14 18:55,2,1,0,3,2
2025-06-14 18:55,1,0,1,2,3
2025-06-14 18:55,1,1,0,3,2
2025-06-14 18:55,2,0,1,2,3
2025-06-14 19:03,Bryan,1,0,3,0
2025-06-14 19:03,Test,0,1,0,3
2025-06-14 19:03,Bryan,1,0,3,1
2025-06-14 19:03,Test,0,1,1,3
2025-06-14 19:03,Test,1,0,3,2
2025-06-14 19:03,Bryan,0,1,2,3
2025-06-14 19:07,Test,1,0,3,0
2025-06-14 19:07,Bryan,0,1,0,3
2025-06-14 19:07,Bryan,1,0,3,1
2025-06-14 19:07,Test,0,1,1,3
2025-06-14 19:08,Bryan,1,0,3,0
2025-06-14 19:08,Test,0,1,0,3
